whole name,Name,Address,Price Level,Types,Category,Website,Phone Number,Rating,Review Count,Opening Hours,Email,POS System,Loyalty Programs,Reservation Platform
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",librarybilling@ucdavis.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",billing@library.ucsc.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",coopprog-library@berkeley.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",avmccirc-library@berkeley.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",privdesk-library@berkeley.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",library@ucmerced.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",ereserves@lists.berkeley.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",copycenter-library@berkeley.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",cuy-library@berkeley.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",LibraryBilling@ucsd.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",cal1card@berkeley.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",library-billing@ucr.edu,,,
Stacks,Main (Gardner) Stacks,"University of California, Berkeley, South Hall Rd, Berkeley, CA 94704, USA",,"library, point_of_interest, establishment",Not a restaurant,http://www.lib.berkeley.edu/libraries/main-stacks,,4.5,8.0,"Monday: 9:00 AM – 2:00 AM, Tuesday: 9:00 AM – 2:00 AM, Wednesday: 9:00 AM – 2:00 AM, Thursday: 9:00 AM – 2:00 AM, Friday: 9:00 AM – 10:00 PM, Saturday: 9:00 AM – 10:00 PM, Sunday: 1:00 PM – 2:00 AM",AskUs@library.ucla.edu,,,
Nopa,Nopa,"560 Divisadero St, San Francisco, CA 94117, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.nopasf.com/,(415) 864-8643,4.5,2808.0,"Monday: 5:30 – 10:00 PM, Tuesday: 5:30 – 10:00 PM, Wednesday: 5:30 – 10:00 PM, Thursday: 5:30 – 10:00 PM, Friday: 5:30 – 11:00 PM, Saturday: 5:30 – 11:00 PM, Sunday: 5:00 – 9:30 PM",info@nopasf.com,Toast,,
Nopa,Nopa,"560 Divisadero St, San Francisco, CA 94117, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.nopasf.com/,(415) 864-8643,4.5,2808.0,"Monday: 5:30 – 10:00 PM, Tuesday: 5:30 – 10:00 PM, Wednesday: 5:30 – 10:00 PM, Thursday: 5:30 – 10:00 PM, Friday: 5:30 – 11:00 PM, Saturday: 5:30 – 11:00 PM, Sunday: 5:00 – 9:30 PM",parties@nopasf.com,Toast,,
Nopa,Nopa,"560 Divisadero St, San Francisco, CA 94117, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.nopasf.com/,(415) 864-8643,4.5,2808.0,"Monday: 5:30 – 10:00 PM, Tuesday: 5:30 – 10:00 PM, Wednesday: 5:30 – 10:00 PM, Thursday: 5:30 – 10:00 PM, Friday: 5:30 – 11:00 PM, Saturday: 5:30 – 11:00 PM, Sunday: 5:00 – 9:30 PM",user@domain.com,Toast,,
Bar Crudo,Bar Crudo,"655 Divisadero St, San Francisco, CA 94117, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,https://www.barcrudo.com/,(415) 409-0679,4.6,729.0,"Monday: 5:00 – 9:00 PM, Tuesday: 5:00 – 9:00 PM, Wednesday: 5:00 – 9:00 PM, Thursday: 5:00 – 9:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: Closed",user@domain.com,Toast,,
Bar Crudo,Bar Crudo,"655 Divisadero St, San Francisco, CA 94117, USA",3.0,"restaurant, food, point_of_interest, establishment",BB1,https://www.barcrudo.com/,(415) 409-0679,4.6,729.0,"Monday: 5:00 – 9:00 PM, Tuesday: 5:00 – 9:00 PM, Wednesday: 5:00 – 9:00 PM, Thursday: 5:00 – 9:00 PM, Friday: 5:00 – 10:00 PM, Saturday: 5:00 – 10:00 PM, Sunday: Closed",info@barcrudo.com,Toast,,
Zazie,Zazie,"941 Cole St, San Francisco, CA 94117, USA",2.0,"restaurant, point_of_interest, food, establishment",BB1,https://www.zaziesf.com/?y_source=1_NTczMjkxODctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(415) 564-5332,4.6,3293.0,"Monday: 8:00 AM – 2:00 PM, 5:00 – 9:30 PM, Tuesday: 8:00 AM – 2:00 PM, 5:00 – 9:30 PM, Wednesday: 8:00 AM – 2:00 PM, 5:00 – 9:30 PM, Thursday: 8:00 AM – 2:00 PM, 5:00 – 9:30 PM, Friday: 8:00 AM – 2:00 PM, 5:00 – 10:00 PM, Saturday: 9:00 AM – 3:00 PM, 5:00 – 10:00 PM, Sunday: 9:00 AM – 3:00 PM, 5:00 – 9:30 PM",,Toast,,
Cha Cha Cha (Haight),Cha Cha Cha,"1801 Haight St, San Francisco, CA 94117, USA",2.0,"restaurant, point_of_interest, food, establishment",BB1,http://www.chachachasf.com/,(415) 386-7670,4.4,1951.0,"Monday: 11:30 AM – 10:30 PM, Tuesday: 11:30 AM – 10:30 PM, Wednesday: 11:30 AM – 10:30 PM, Thursday: 11:30 AM – 11:00 PM, Friday: 11:30 AM – 11:00 PM, Saturday: 11:30 AM – 11:00 PM, Sunday: 11:30 AM – 10:30 PM",user@domain.com,,,
Cha Cha Cha (Haight),Cha Cha Cha,"1801 Haight St, San Francisco, CA 94117, USA",2.0,"restaurant, point_of_interest, food, establishment",BB1,http://www.chachachasf.com/,(415) 386-7670,4.4,1951.0,"Monday: 11:30 AM – 10:30 PM, Tuesday: 11:30 AM – 10:30 PM, Wednesday: 11:30 AM – 10:30 PM, Thursday: 11:30 AM – 11:00 PM, Friday: 11:30 AM – 11:00 PM, Saturday: 11:30 AM – 11:00 PM, Sunday: 11:30 AM – 10:30 PM",info@chachachasf.com,,,
Cha Cha Cha (Haight),Cha Cha Cha,"1801 Haight St, San Francisco, CA 94117, USA",2.0,"restaurant, point_of_interest, food, establishment",BB1,http://www.chachachasf.com/,(415) 386-7670,4.4,1951.0,"Monday: 11:30 AM – 10:30 PM, Tuesday: 11:30 AM – 10:30 PM, Wednesday: 11:30 AM – 10:30 PM, Thursday: 11:30 AM – 11:00 PM, Friday: 11:30 AM – 11:00 PM, Saturday: 11:30 AM – 11:00 PM, Sunday: 11:30 AM – 10:30 PM",email@example.com,,,
Parada 22,Parada 22,"1805 Haight St, San Francisco, CA 94117, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,https://parada22.shop/,(415) 750-1111,4.5,1185.0,"Monday: 12:00 – 9:00 PM, Tuesday: 12:00 – 9:00 PM, Wednesday: 12:00 – 9:00 PM, Thursday: 12:00 – 9:00 PM, Friday: 12:00 – 9:00 PM, Saturday: 12:00 – 9:00 PM, Sunday: 12:00 – 9:00 PM",,,,
Magnolia Brewing (Haight),Magnolia SF - Haight,"1398 Haight St, San Francisco, CA 94117, USA",2.0,"bar, restaurant, food, point_of_interest, establishment",BB3,http://magnoliabrewing.com/,(415) 864-7468,4.4,892.0,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 1:00 AM, Saturday: 12:00 PM – 1:00 AM, Sunday: 12:00 PM – 12:00 AM",,,,
The Grind Café,The Grind,"783 Haight St, San Francisco, CA 94117, USA",2.0,"cafe, food, point_of_interest, establishment",BB2,https://thegrindcafe.com/?y_source=1_MjU2NDY0OTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(415) 864-0955,4.3,579.0,"Monday: 7:00 AM – 4:00 PM, Tuesday: 7:00 AM – 4:00 PM, Wednesday: 7:00 AM – 4:00 PM, Thursday: 7:00 AM – 4:00 PM, Friday: 7:00 AM – 4:00 PM, Saturday: 7:00 AM – 4:00 PM, Sunday: 7:00 AM – 4:00 PM",thegrindsf@gmail.com,Toast,,
Sparrow Bar and Kitchen,Sparrow Bar and Kitchen,"1640 Haight St, San Francisco, CA 94117, USA",2.0,"bar, restaurant, food, point_of_interest, establishment",BB3,,(415) 622-6137,4.1,271.0,,,,,
Kezar Bar & Restaurant,The Kezar Pub,"770 Stanyan St, San Francisco, CA 94117, USA",2.0,"bar, point_of_interest, establishment",BB3,,(415) 386-9292,4.4,988.0,"Monday: 11:30 AM – 12:00 AM, Tuesday: 11:30 AM – 12:00 AM, Wednesday: 11:30 AM – 12:00 AM, Thursday: 11:30 AM – 12:00 AM, Friday: 11:30 AM – 2:00 AM, Saturday: 6:00 AM – 2:00 AM, Sunday: 6:00 AM – 2:00 AM",,,,
Bacon Bacon,Bacon Bacon,"205A Frederick St, San Francisco, CA 94117, USA",1.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.baconbaconsf.com/the-cafe-upper-haight,(415) 218-4347,4.3,434.0,"Monday: 7:00 AM – 2:00 PM, Tuesday: 7:00 AM – 2:00 PM, Wednesday: 7:00 AM – 2:00 PM, Thursday: 7:00 AM – 2:00 PM, Friday: 7:00 AM – 2:00 PM, Saturday: 8:00 AM – 2:00 PM, Sunday: 8:00 AM – 2:00 PM",,,,
Kate’s Kitchen,Kate's Kitchen,"471 Haight St, San Francisco, CA 94117, USA",1.0,"cafe, restaurant, food, point_of_interest, establishment",BB1,http://orderkateskitchen.com/,(415) 626-3984,4.3,619.0,"Monday: 9:00 AM – 2:00 PM, Tuesday: Closed, Wednesday: 9:00 AM – 2:00 PM, Thursday: 9:00 AM – 2:00 PM, Friday: 9:00 AM – 2:00 PM, Saturday: 9:00 AM – 3:00 PM, Sunday: 9:00 AM – 3:00 PM",,,,
Nopalito (Broderick),Nopalito,"306 Broderick St, San Francisco, CA 94117, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.nopalitosf.com/,(415) 437-0303,4.3,1907.0,"Monday: 11:30 AM – 9:00 PM, Tuesday: 11:30 AM – 9:00 PM, Wednesday: 4:30 – 9:00 PM, Thursday: 11:30 AM – 9:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:30 AM – 9:00 PM",hello@nopalitosf.com,,,
Nopalito (Broderick),Nopalito,"306 Broderick St, San Francisco, CA 94117, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.nopalitosf.com/,(415) 437-0303,4.3,1907.0,"Monday: 11:30 AM – 9:00 PM, Tuesday: 11:30 AM – 9:00 PM, Wednesday: 4:30 – 9:00 PM, Thursday: 11:30 AM – 9:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:30 AM – 9:00 PM",catering@nopalitosf.com,,,
Nopalito (Broderick),Nopalito,"306 Broderick St, San Francisco, CA 94117, USA",2.0,"restaurant, food, point_of_interest, establishment",BB1,http://www.nopalitosf.com/,(415) 437-0303,4.3,1907.0,"Monday: 11:30 AM – 9:00 PM, Tuesday: 11:30 AM – 9:00 PM, Wednesday: 4:30 – 9:00 PM, Thursday: 11:30 AM – 9:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:30 AM – 9:00 PM",user@domain.com,,,
